,Title,Description,Location,Price,Condition
692,Honda CBR 2006 Black,"Engine type Single cylinder, four-stroke Power 13.0 HP (9.5 kW)) @ 10000 RPM Torque 10.1 Nm (1.0...","Lagos, Ojodu","₦ 950,000",Black
693,TVS Apache 160 4V 2020 Yellow,Forget all these packaged keke you’re seeing online. This is the real deal! This is a keke napep...,"Lagos, Ajah","₦ 395,000",Foreign Used
694,Daelim 1998 Red,Daelim forte 200cc Serious buyers only,"Lagos, Amuwo-Odofin","₦ 480,000",Red
695,New Skygo 2023 White,"The all new 2023 Skygo Rocket Speed 125-D with turbo sound,beautified to suit your speed thirst with...","Lagos, Gbagada","₦ 1,200,000",Nigerian Used
696,New Motorcycle 2023 Gray,Two months warranty and very strong,"Lagos, Yaba","₦ 2,800,000",Yellow
697,Qlink XP 200 2022 Black,Targets Motorcycle in perfect condition,"Oyo, Ogbomosho North","₦ 750,000",Brand New
698,New TVS Neo NX 2019 Black,Oshogbo osun state way old garages,"Osun, Osogbo","₦ 1,500,000",Blue
699,TVS Apache 180 RTR 2022 Yellow,"This TVS tricycle is very neat, with very good chassis, sound engine, it has press and start...","Lagos, Ikorodu","₦ 755,000",Nigerian Used
700,Qlink Tour 250 2021 White,Neatly used hand starting qlink target,"Osun, Osogbo","₦ 550,000",Blue
701,New CFMoto 150NK 2023 Black,Electric charging wheel balanced scooter,"Kano, Nasarawa-Kano","₦ 250,000",Brand New
702,Qlink XF 200 2019 Black,This is qlink super ranger 200cc for good and ready to drive,"Abuja, Gudu","₦ 520,000",Black
703,Honda Forza 2008 White,"Clean Japanese tokunbo keyless honda forza 250cc, a perfect bike for long and short trip on a low...","Lagos, Ogba","₦ 1,100,000",Nigerian Used
704,Bajaj RE 2019 Yellow,Nigerian Used Keke. Sound and good to go. Brand new battery and tyres. Amac registration valid till...,"Abuja, Mararaba","₦ 800,000",Black
705,Honda CB 2010 Red,Working perfectly buy and drive,"Ondo, Akure","₦ 600,000",Foreign Used
706,Honda 2018 Blue,"Japanese used Honda motorcycle, fairly used, 100% ok.","Lagos, Ojo","₦ 800,000",White
707,Honda 2015 Green,"Japanese used motorcycle, 100% ok","Lagos, Ojo","₦ 650,000",Nigerian Used
708,Jincheng JC125 -30 2017 Red,Sound Motobi Bike. Nothing to repair. Buy and zoom.,"Abuja, Nyanya","₦ 315,000",Yellow
709,New Motorcycle 2021 Orange,"High quality, long lasting with waranty, Gp mobile tricycle , very affordable, avalable on orders...","Abuja, Mararaba","₦ 2,300,000",Nigerian Used
710,Super Gallant Buffalo 2020 Black,"This is known as super Galant Buffalo with engine 200cc, very clean and durable. it comes with...","Rivers, Port-Harcourt","₦ 550,000",Red
711,Apsonic AP200-27 2021 Green,This is fairly used 200cc Sonlink motorcycle. just buy and used,"Abuja, Lokogoma","₦ 450,000",Foreign Used
712,New Motorcycle 2023,Electric bikes now fully available in Wuye district of Abuja. Wuye market precisely. Charging time...,"Abuja, Wuye","₦ 820,000",Blue
713,Qlink Travis 50 2021 Yellow,Neatly Used Qlink Target All Functions working perfectly buy And Ride,"Osun, Osogbo","₦ 580,000",Foreign Used
714,New Bajaj RE 2023 Yellow,brand new tricycles working perfectly,"Ogun, Ado-Odo/Ota","₦ 1,900,000",Green
715,New Polaris 2020 Black,"This is the Polaris RANGER Lineup. The Strongest, Most Capable, Most Comfortable RANGER Line-Up....","Lagos, Ogudu","₦ 7,500,000",Foreign Used
716,Qlink Tour 250 2021 Black,Neatly Used Qlink Rks 200 All Functions working perfectly with Untouched Tokunbo Engine Buy and...,"Osun, Osogbo","₦ 720,000",Red
717,Kawasaki Ninja ZX6R 2000 Green,Bike Working perfectly,"Kogi, Lokoja","₦ 1,300,000",Brand New
718,New Motorcycle 2022 White,Engine 650cc engine type v-twin displacement 650cc max. power 39kw/6500 rpm max. torque 62...,"Lagos, Lagos Island (Eko)","₦ 7,000,000",Orange
719,Kymco 2005 Silver,The Kymco V2 125cc Motorcycle is a great choice for those who value both style and performance in...,"Osun, Ilesa","₦ 470,000",Nigerian Used
720,Bajaj Boxer 2008 Red,"Working fine,head light glass not there","Ogun, Abeokuta South","₦ 350,000",Black
721,Jincheng JC 110-9 2018 Red,Jincheng for sell in good condition just buy and ride nothing to fix,"Oyo, Ibadan","₦ 350,000",Nigerian Used
722,Qlink X-ranger 200 2022 Black,It's a black QLink for dispatch delivery services. Few months of used and the engine hasn't been...,"Lagos, Ikorodu","₦ 850,000",Green
723,Jincheng JC 110-9 2018 Black,Jincheng for sell kindly chat or call me nothing to fix just buy and ride,"Oyo, Ibadan","₦ 350,000",Brand New
724,Daylong DL200-30 2020 Brown,"My daylong dispatch bike has been barely used for a year. Its working perfectly, gives me no...","Edo, Benin City","₦ 470,000",Other
725,Kymco 2015 Black,Direct tokubor Kymco 120 Notting to fix Buy and drive Sound engine Clean interior Accident...,"Lagos, Oshodi","₦ 324,000",Nigerian Used
726,TVS Apache 180 RTR 2022 Yellow,Both engine and gear is perfectly ok... Serious buyer should contact on080*********...,"Ogun, Pakuro","₦ 730,000",Yellow
727,New Kymstone Husky 2021,"Kymstone motorcycle is a good quality motor cycle for dispatch delivery, courier services, and...","Lagos, Yaba","₦ 1,050,000",Brand New
728,New Denstar Taurus 2022 Black,Dealer in all types of dispatch bikes,"Lagos, Yaba","₦ 1,040,000",Yellow
729,New Benelli Tornado 2021 Green,"This is new easygo MOTORCYCLE. with Capacity engine of 200cc, tank capacity 15 liters. tyre size...","Abuja, Lokogoma","₦ 950,000",Brand New
730,Qlink Achilles 150 2021 Red,Qlink 150 Cc available for sale Can be used for dispatch too. Comes with a dispatch box and tracking...,"Rivers, Port-Harcourt","₦ 510,000",Black
731,Daylong DL200-30 2020 Brown,My logistic bike is out for sale. I've barely used it for 1 year. It's working perfectly...,"Edo, Benin City","₦ 480,000",Nigerian Used
732,Bajaj Boxer 2020 Red,Bajaj very neat and working perfectly no any single fault is available for sale for serious buyer.,"Kwara, Ilorin South","₦ 550,000",Black
733,Peugeot Kisbee 2006,Clean Peugeot scooter,"Lagos, Ifako-Ijaiye","₦ 350,000",Nigerian Used
734,Suzuki GSX / Katana 2017 Blue,Work perfectly no problem,"Oyo, Atiba","₦ 2,500,000",Green
735,New Suzuki Intruder 2020 White,Distress sale... owner needs direct instant cash. Selling at loss Just arrived from usa Brand new...,"Abuja, Gwarinpa","₦ 5,300,000",Brand New
736,Suzuki Bandit 2020 Black,Too an extra neat.u can see it urself.but de bike de fly.de speed is much.any colour u need,"Ogun, Ifo","₦ 650,000",White
737,Kawasaki Ninja ZX-10R 2006 Blue,Superclean with everything working perfectly just buy and drive,"Abuja, Lokogoma","₦ 3,200,000",Foreign Used
738,TVS 2021 Yellow,"Up for sale is a TVS tricycle, a blend of durability and efficiency. Ideal for both personal and...","Lagos, Oshodi","₦ 950,000",Silver
739,Daelim 2013 Red,"Direct belguim citi100 very sound ,its a sweet bike","Anambra, Nnewi","₦ 350,000",Nigerian Used
740,New Motorcycle 2022 Black,*GOFUN-Z1 Electric Bicycle* Motor Power: 350W Controller: 48V 6Phase. Battery Type: Lithium....,"Lagos, Ikeja","₦ 595,000",Red
741,Jincheng JC110-T9 2019 Black,The bikes are in perfect working condition. We deliver nationwide on payment.,"Kaduna, Zaria","₦ 199,000",Foreign Used
742,TVS HLX 125 2011 Red,Perfectly working TVs bike,"Kwara, Offa","₦ 300,000",Red
743,New Motorcycle 2023 Black,RONGXING motorcycle is a new product and it is a very good motorcycle. It has a 200cc engine and the...,"Lagos, Agege","₦ 1,000,000",Nigerian Used
744,New Motorcycle 2022 Red,Engine 250cc engine type v-twin displacement 250cc max. power 39kw/6500 rpm max. torque 62...,"Lagos, Lagos Island (Eko)","₦ 2,300,000",Black
745,TVS Apache 180 RTR 2020 Yellow,"This is TVS tricycle... 2020 model.It is very neat,standard engine with no issue,good tyres and...","Lagos, Isolo","₦ 450,000",Foreign Used
746,Bajaj Boxer 2021 Red,Bajaj Boxer working perfectly... serious buyer... complete intact document,"Ogun, Ilaro","₦ 620,000",Black
747,New TVS Neo NX 2023 Blue,New TVS NEO Motocycle,"Oyo, Ibadan","₦ 1,100,000",Nigerian Used
748,Hyosung 2013 Red,Hyosung Suzuki Bike with Jincheng JC engine with Key Starter going for cheap price fast...,"Osun, Oriade","₦ 500,000",Brown
749,New Motorcycle 2022 Black,Motorcycle D nop good,"Sokoto, Sokoto North","₦ 900,000",Foreign Used
750,New Jincheng Dax 50 2021 Beige,"This is known as easygo motorcycle, is used for dispatch and private used. These are the list of...","Abuja, Apo District","₦ 950,000",Black
751,SYM Maxsym 2017 White,"Clean Japanese tokunbo sym fighter 150cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 460,000",Nigerian Used
752,Honda Dio 2010 Blue,Good bike Private message me on WhatsApp if you’re serious to buy... If you over price I won’t...,"Lagos, Abule Egba","₦ 420,000",Yellow
753,New Jincheng JC 150 T 2017 Black,Promo brand new jincheng jt150t-a scooter motorcycle in fantastic working condition. located at...,"Kwara, Ilorin South","₦ 595,000",Brand New
754,New TVS King Cargo 2022 Blue,We sell TVS cargo here... Contact within,"Lagos, Ojo","₦ 2,900,000",Other
755,Jincheng JC 110-9 2020 Black,"Every thing is working normal with sound engine, hand start, all lights working.","Kogi, Lokoja","₦ 450,000",Brand New
756,Motorcycle 2022,Direct Belgium Electric bike with a strong Lithium battery and a 1000Watts motor. Just buy and ride,"Kaduna, Zaria","₦ 450,000",Black
757,New Motorcycle 2023 Blue,Rechargable Electric scooting machine,"Lagos, Ikeja","₦ 580,000",Brand New
758,Sonlink SL200-8A 2020 Red,This is Sonlink 200cc use within five month. is very sound . just change ENGINE oil and drive. it...,"Abuja, Gudu","₦ 485,000",Green
759,Kymco 2018 Black,Clean foreign used Kymco bike 120 speed Accident free Sound engine Clean interior Buy and drive...,"Lagos, Isolo","₦ 350,000",Nigerian Used
760,Kymco Xciting 2017 Black,"Clean Japanese tokunbo kymco racing 150cc , a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 489,999",Red
761,New Daylong DL150-KT 2022 Blue,"We sell Daylong Cargo tricycle for carrying loads, Contact within...","Rivers, Port-Harcourt","₦ 2,000,000",Nigerian Used
762,SYM Symphony 2019 White,"Clean Japanese tokunbo sym fighter 150cc , a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 449,999",Brown
763,New Motorcycle 2022 Green,200cc Bazuki EasyGo motorcycle,"Oyo, Ibadan","₦ 980,000",Nigerian Used
764,New Motorcycle 2023 Red,Electric rechargeable bicycle.,"Kaduna, Zaria","₦ 399,000",Red
765,New Hero Xpulse 200 2020 Black,"200cc ATV quad bike is an All-Tarrane-Vehicle for adult use in travelling on desert, farmland,...","Lagos, Lagos Island (Eko)","₦ 2,300,000",Nigerian Used
766,New Qlink XF 200 2020,Still available in different colors are Qlink 200 cc. the biggest of all Chinese brands. visit us...,"Abuja, Wuye","₦ 1,150,000",Other
767,Kawasaki 1998 Green,"1998 kawasaki GPZ 500. Neatly used, no fault","Abuja, Gwagwalada","₦ 550,000",Foreign Used
768,SYM Jet 2016 Black,It is exactly how you see it buy and ride no issue working perfectly good come and see then ride...,"Ondo, Ondo / Ondo State","₦ 600,000",Blue
769,Bajaj RE 2019 Yellow,Felly used keke for sell. Lets deal,"Enugu, Enugu / Enugu State","₦ 550,000",Brand New
770,TVS HLX Plus ES 2021 Black,"Clean and sound as brand new who know go know, serious buyer only pls.","Ondo, Ondo / Ondo State","₦ 749,989",White
771,New Super Gallant Buffalo 2022,Super gallant is a 200cc motorcycle,"Lagos, Agege","₦ 955,000",Foreign Used
772,New Motorcycle 2022 Black,Brand new dispatch logistics motorcycles available in wuye ultra modern market behind family worship...,"Abuja, Wuye","₦ 1,060,000",Black
773,TVS King Deluxe Plus iTouch Start 2018 Blue,"Neatly used TVs Keke for sale, buy and drive no issues Call or Whatsapp","Delta, Warri","₦ 600,000",Foreign Used
774,Kymco Agility 2015 Black,"Direct Belgium used Kymco bike, hand start, pointers and lights works perfectly. Just buy and ride...","Oyo, Ibadan","₦ 480,000",Blue
775,Motorcycle 2015 Yellow,"A different quad with so much power ! Revere , 5 speed and that aggressive look! Everybody should...","Lagos, Ojodu","₦ 680,000",Nigerian Used
776,TVS HLX Plus ES 2022 Blue,Very sound Bike Serious buyer pls,"Ondo, Ondo / Ondo State","₦ 529,999",Yellow
777,New Motorcycle 2021,Tricycles for farming and logistics,"Lagos, Yaba","₦ 2,900,000",Foreign Used
778,New Muoner MN-A 200 2022 Black,"Mouner mortorcycle is a good bike that has a very strong engine, it can be used for dispatch or...","Lagos, Agege","₦ 1,150,000",Red
779,BMW S 1000 RR 2022 White,2022 BMW S1000RR Sports with the M package. Carbon fiber wheels Akrapovic full Exhaust system.,"Lagos, Ifako-Ijaiye","₦ 22,000,000",Brand New
780,SYM Symphony 2015 Black,"Clean Japanese tokunbo sym fighter 150cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 430,000",Black
781,Harley-Davidson FXR 2008 Black,1 week old good as new cruiser for easy hot sale,"Abuja, Idu Industrial","₦ 4,500,000",Nigerian Used
782,Daelim CiTi Ace 110 2012 Red,"Daelim Citi 110 Korea/Japan foreign used Tokumbo motorcycle, very strong and durable bike with high...","Lagos, Amuwo-Odofin","₦ 495,000",Black
783,Kymco 2021 Black,"Kymco bike This bike is foreign used and it is working perfectly, if you are interested please call...","Oyo, Ido","₦ 500,000",Nigerian Used
784,Kawasaki 2004 Blue,Kawasaki ZR7 bike in good condition,"Kwara, Ilorin East","₦ 1,200,000",Red
785,Suzuki Bike 2007 Blue,An extremely clean 2007 foreign used suzuki with original duty,"Abuja, Katampe","₦ 2,200,000",Brand New
786,TVS Apache 180 RTR 2023 Yellow,2023 TVs King Tricycle Machine with clean body and sound engine. Its a buy and drive machine......,"Lagos, Shomolu","₦ 930,000",Black
787,Zongshen Zone-T 2019 Black,Nigeria used neat Ladies motor cycle for sale,"Oyo, Ibadan","₦ 400,000",Brand New
788,SYM Symphony 2016 Red,"Clean Japanese tokunbo sym fighter 150cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 450,000",Red
789,Suzuki GS 2008 Red,Suzuki Cafe Racer for quick sale. Bike is in good condition and would be sold on first come first...,"Lagos, Ajah","₦ 1,150,000",Nigerian Used
790,SYM Symphony 2018 White,"SYM Bike This bike is in an excellent condition, a bike with full speed, if you are interested call...","Oyo, Ibadan","₦ 650,000",Yellow
791,New Tricycle 2023,New rongxing cargo tricycle is a new product that has a 250engine capacity. What was bulit at his...,"Lagos, Agege","₦ 5,300,000",Nigerian Used
792,TVS Apache 180 RTR 2022 Yellow,"This 2022,TVS king keke napep with clean body and sound engine is available for inspection... its...","Lagos, Shomolu","₦ 660,000",Red
793,SYM Symnh 2016 Black,"Clean Japanese tokunbo sym fighter 150cc , a perfect bike for long and short trip on a low fuel...","Lagos, Ifako-Ijaiye","₦ 430,000",Brand New
794,Yamaha Majesty 2016 Black,Buy and drive working fine,"Lagos, Ikeja","₦ 700,000",Blue
795,Senke SK110T 2013 Silver,A foreign used rubber rubber bike tested ok absolutely nothing to fix or change,"Lagos, Ikeja","₦ 500,000",Nigerian Used
796,Suzuki Bandit 2013 White,The beik is very ok buy and drev you can carry sombody in bak,"Nasarawa, Karu-Nasarawa","₦ 260,000",Red
797,Jincheng 2017 Black,A well used jincheng Focus motorcycle,"Kwara, Ilorin South","₦ 350,000",Brand New
798,New Motorcycle 2023,Mato b motorcycle is bike is very okay strong easy to maintain perfect movement is not concerned...,"Lagos, Agege","₦ 840,000",Black
799,Suzuki 2015 White,Suzuki mollect for sale Accident free Sound engine Clean interior Buy and drive,"Lagos, Mushin","₦ 250,000",Brand New
800,New Motorcycle 2020 Black,ATV is a very good machine that can help you move around in all terain ranging from 150CC to 350CC...,"Lagos, Ajah","₦ 4,000,000",Beige
801,KTM 2017,Sweet mint KTM Duke Bike,"Osun, Ede","₦ 2,600,000",Foreign Used
802,New Qlink XP 200 2019 Red,Engine capacity 200cc. fuel capacity 15liters. total weight: 175kg.,"Lagos, Yaba","₦ 930,000",White
803,Daylong DL150-KT 2021 Black,"The bike is in good condition, the owner is Selling it cos of some challenges. So only interested...","Abia, Isiala Ngwa","₦ 380,000",Foreign Used
804,Jincheng Bike 2017 Black,It is very clean and all in good condition ...,"Oyo, Ido","₦ 300,000",Blue
805,SYM Fnx 125 2017 White,"Clean Japanese tokunbo sym rx110, a perfect bike for long and short trip on a low fuel consumption...","Lagos, Ogba","₦ 430,000",Brand New
806,Lifan 2022 Red,Neatly used lifan dragon motorcycle in perfect condition with untempered engine and first body (not...,"Abuja, Gwarinpa","₦ 600,000",Black
807,TVS Neo NX 2023 Black,"Very clean, untouched engine!","Benue, Makurdi","₦ 800,000",Brand New
808,Haojue HJ110-2C 2022 Silver,This HAOJUE LUCKY is extremely clean and fuel economical. BUY it and just travel round the world.,"Ondo, Akure","₦ 580,000",Blue
809,Bimota 2023 Red,"This is Baotian motorcycle, is very good for logistics and is durable, fuel economical and rugged....","Abuja, Gudu","₦ 540,000",Nigerian Used
810,SYM Joyride 2016 Black,"Clean sym fighter 150cc, a perfect bike for long and short trip on a low fuel consumption with all...","Lagos, Ogba","₦ 450,000",Black
811,Kymco Agility 2021 Gray,Fuel economical bike,"Ondo, Akure","₦ 380,000",Foreign Used
812,Suzuki Bandit 2005 Black,The Bike is Buy and Ride nothing to fix... Makesure you bring your Mechanic while come... You wil...,"Oyo, Iseyin","₦ 1,700,000",Other
813,TVS King Deluxe Plus iTouch Start 2021 Yellow,"Engine: sound and good. Brake: working perfectly, reverse working. Lights working. New...","Abuja, Kubwa","₦ 700,000",Brand New
814,Yamaha 2005 Silver,"Foreign used bike and comes with - Tracker installed already, Tool kit, Dispatch box and helmet...","Lagos, Ikorodu","₦ 850,000",Blue
815,TVS 2019 Yellow,Super Clean and neatly used TVS keke 2019 model. Nothing to fix.,"Abuja, Kubwa","₦ 550,000",Nigerian Used
816,Yamaha NMAX 155 2017 White,"Clean Japanese tokunbo yamaha majesty 155cc 2017model, a perfect bike for long and short trip on a...","Lagos, Ogba","₦ 1,200,000",Red
817,Motorcycle 2018 White,Powerful Tokunbo Electric bike 36v available for sales with good battery it can cover 20km-25km a...,"Lagos, Alimosho","₦ 250,000",Foreign Used
818,Yamaha 2020 Green,Clean yamaha grand Axis 100 with sound engine,"Akwa Ibom, Ikot Ekpene","₦ 600,000",Black
819,TVS Apache 180 RTR 2021 Yellow,A fairly used TVS tricycle in good condition,"Lagos, Ipaja","₦ 500,000",Foreign Used
820,Motorcycle 2022 Black,Ninebot KickScooter E22 hardly ridden and Great shape. Good battery life can get you up 20km on a...,"Lagos, Ogudu","₦ 300,000",Black
821,Bajaj Boxer 2020 Red,Bajaj in good condition call,"Osun, Ilesa","₦ 250,000",Brand New
822,Kawasaki EX250 2019 Black,This power bike designed by Kawasaki has the capacity of a sport car... this car puts you on the...,"Lagos, Ojo","₦ 5,100,000",Blue
823,SYM Symphony 2017 Black,"Clean Japanese tokunbo sym fighter 150cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 450,000",Foreign Used
824,Hyosung 2015 Black,Just arrived In a very perfect condition,"Lagos, Ikeja","₦ 2,500,000",White
825,New Motorcycle 2022 Black,"Brand new auto unity motorcycle,available in different colours And we also sell Nigeria used...","Lagos, Yaba","₦ 750,000",Brand New
826,Jincheng Bike 2017 White,"Automatic Nigeria used bike , it saves fuel and very clean and working perfectly ...","Oyo, Ibadan","₦ 300,000",Green
827,New Motorcycle 2022 Red,Brand new Zenith ZA200 ktl... will serve you in any weather condition... realible and easy to...,"Lagos, Ojo","₦ 2,200,000",Brand New
828,TVS 2017 Yellow,Yellow tricycle for sale,"Lagos, Alimosho","₦ 950,000",Red
829,Yamaha Majesty 2015 Black,"Clean Japanese tokunbo yamaha majesty 250cc 2017model, a standard bike for long and short trip on a...","Lagos, Ogba","₦ 980,000",Brand New
830,New Tricycle 2021 Red,We are dealers of all bazuki cargo tricycle. brand new 200cc bikes contact within:,"Lagos, Ikeja","₦ 2,700,000",Black
831,Honda 2022 Red,Boxer motobi red color buy and used,"Osun, Ede","₦ 410,000",Brand New
832,Yamaha 2015,2015 new model yamaha jog available in all colors for wholesale n retail purchase... whatsapp me for...,"Lagos, Yaba","₦ 300,000",Other
833,TVS Neo NX 2023 Blue,Very neat tvs Neo nx used like new no condition only serious buy dm081*********,"Kwara, Ilorin West","₦ 890,000",Nigerian Used
834,Motorcycle 2020 Black,Powerful Tokunbo Electric scooter 48v battery available for sales with good battery it can cover...,"Lagos, Alimosho","₦ 300,000",Green
835,Yamaha 2020 Red,"Specs Engine size 847cc Engine type Liquid-cooled, 12v, inline triple Frame type Diamond Fuel...","Lagos, Ojodu","₦ 6,800,000",Nigerian Used
836,Kawasaki Concours 14 2016 Black,Neatly used Kawasaki concours 1400. Nothing to fix just buy n ride condition,"Lagos, Surulere","₦ 4,500,000",Black
837,Muoner MN-C 200 2018 Black,A used bike still working good.good engine. Judt change few body part,"Lagos, Agege","₦ 200,000",Nigerian Used
838,TVS Apache 180 RTR 2011 Yellow,"Fair used Tvs machine everything working perfectly fine. Serious buyer only , slightly negotiable","Ogun, Sagamu","₦ 1,000,000",Yellow
839,Jincheng JC 110-9 2013 Black,A rubber rubber maching with good engine and in a verry good condition... all the rubbers are intact,"Plateau, Jos","₦ 340,000",Nigerian Used
840,New Qlink Rave 150 2022 White,Qlink Target is still the no.1 for scooter,"Lagos, Yaba","₦ 1,150,000",Black
841,Honda Gold Wing 1984 Gold,Superclean with everything working perfectly buy and ride at a giveaway price,"Abuja, Lokogoma","₦ 1,400,000",Brand New
842,BMW 2005 Black,Sweet Bike looking for new Home,"Ogun, Ijebu Ode","₦ 1,500,000",Other
843,Jincheng JC 110-9 2021 White,Sound and neatly used,"Kaduna, Kaduna / Kaduna State","₦ 450,000",Brand New
844,Kary-Go Cargo 2021 Black,Neatly used perfect condition,"Oyo, Ibadan","₦ 400,000",Black
845,New Honda CB 2020 Black,Too neat bike .cool engin an wel sound.no single fault.wit one touch hand start,"Ogun, Ifo","₦ 550,000",Nigerian Used
846,Kymco Agility 2022 Black,The machine is my own with complete document,"Anambra, Anambra East","₦ 360,000",Blue
847,BMW S 1000 RR 2019 Blue,Well maintained and without issues!,"Lagos, Ifako-Ijaiye","₦ 14,000,000",Foreign Used
848,Suzuki Burgman 2019,"We sale Clean and Accident free Foreign Used Suzuki, Yamaha Scooters, Power bikes, sport bikes and...","Lagos, Ojo","₦ 950,000",Black
849,Motorcycle 2021 Yellow,Powerful Tokunbo Electric tricycle scooter 48v available for sales with good battery it can cover...,"Lagos, Ikeja","₦ 450,000",Foreign Used
850,Suzuki Bike 2019 White,Direct Imported Scooter bikes of all types are available,"Lagos, Yaba","₦ 230,000",Yellow
851,BMW 1150R 2007 Red,In perfect condition,"Lagos, Isolo","₦ 3,000,000",Nigerian Used
852,TVS Apache 180 RTR 2020 Yellow,"Manual start, working perfect in good conditon","Lagos, Orile","₦ 550,000",Blue
853,New Apsonic AP200-A 2022 Black,This is called mourner this motorbike is very durable and can withstand a rugged road. the back tyre...,"Abuja, Gudu","₦ 950,000",Brand New
854,Kymco 2016 Black,Displacement 149 cc maximum power 13.8 hp bore x stroke 59 mm x 54.5 mm maximum torque 11.7 nm valve...,"Lagos, Ojodu","₦ 800,000",Other
855,New Super Gallant Buffalo 2020 Black,"Super gallant buffalo with engine capacity of 200cc ,tyr size 12.5/17. fuel tank capacity 15litres,...","Lagos, Yaba","₦ 950,000",Brand New
856,New Qlink X-ranger 200 2019 Black,"Qlink champion motocyle , Engine capacity is 200. tire size is 16. it comes with alloys ream. it has...","Lagos, Lagos Island (Eko)","₦ 1,100,000",Black
857,Zongshen Infinity 2019 Black,"Bikes are 80% clean as new and working perfectly. Location: Ibadan, Oyo State Interested buyers can...","Oyo, Ibadan","₦ 400,000",Foreign Used
858,New Lifan 2022 Red,2020 lifan 200cc & Sonik 200cc power bike brand new hurry up nationwide delivery is also available...,"Oyo, Ibadan","₦ 1,300,000",White
859,Suzuki GSX / Katana 2000 Black,"Working perfectly OK, my daily ride. For inspection, meeting point will be murtala international...","Lagos, Ikeja","₦ 650,000",Foreign Used
860,Yamaha Majesty 2017 Gray,"Clean Japanese tokunbo yamaha majesty 250cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 980,000",Black
861,Jincheng Bike 2008 Blue,Very strong Jincheng motorcycle with just fixed two new tires. front and back.,"Kwara, Ilorin East","₦ 250,000",Foreign Used
862,Suzuki 2018 White,A foreign used suzuki skywave available for sale in any color. no fault to repair... working...,"Lagos, Ojo","₦ 900,000",Black
863,Daylong DL150-KTL 2022 Blue,"Daylong Tricycle in a perfect working condition. It’s very fuel economical, cheap to maintain and...","Rivers, Port-Harcourt","₦ 850,000",Foreign Used
864,Polaris PZR 2021 Red,Slingshot SL Red Pearl- Autodrive 2021 model red on black interior,"Lagos, Ojodu","₦ 28,500,000",Red
865,New Jincheng JC 150 T 2020 Silver,PROMO Brand new jincheng jt150t-a scooter motorcycle in fantastic working condition. located at...,"Kwara, Ilorin South","₦ 595,000",Foreign Used
866,New Bajaj 2019 White,The Tricycle ambulance also known as Keke ambulance is an innovation into the interors of our...,"Lagos, Ikeja","₦ 3,800,000",Black
867,Yamaha FZ 1989,Yamaha FJ1200 Nigeria used working perfectly fine,"Lagos, Abule Egba","₦ 900,000",Nigerian Used
868,Honda 2009 Silver,Injector Bick parfect okay,"Oyo, Ibadan","₦ 2,500,000",Blue
869,Qlink X-ranger 200 2020 Black,Qlink x ranger 200 neatly Nigeria used for sale,"Kwara, Ilorin West","₦ 655,000",Foreign Used
870,Haojue HJ110-5 2021 Orange,Very neat and clean haojue lucky plus. Engine is in perfect working condition and it has never been...,"Kwara, Ilorin West","₦ 900,000",Blue
871,Yamaha Road Star 2018 Blue,Buy your direct tokunbo power bike for both long and short range distance... It is in good...,"Lagos, Ojo","₦ 5,200,000",Nigerian Used
872,Bajaj Boxer 2023 Red,120 bike boxer bajaj clean and newly,"Ondo, Isua","₦ 500,000",Yellow
873,Tricycle 2021 Blue,Tvs model engine and gear in top notch condition buy and drive first body,"Rivers, Obio-Akpor","₦ 920,000",Nigerian Used
874,SYM Fnx 125 2017 Brown,"Clean Japanese tokunbo sym rx110, a perfect bike for long and short trip on a low fuel consumption...","Lagos, Ogba","₦ 450,000",Black
875,Bajaj RE 2002 Yellow,Very Neat and Sharp Bajaj The body is complete first body The engine and gear are perfect Just buy...,"Enugu, Enugu / Enugu State","₦ 800,000",Foreign Used
876,Suzuki 2006 Black,2006 foreign used suzuki lets2,"Lagos, Yaba","₦ 200,000",Red
877,Qlink XP 200 2019 Black,"This is fairly used qlink champion with engine capacity of 200cc, it comes with plastic box, and...","Abuja, Lokogoma","₦ 650,000",Nigerian Used
878,Qlink X-ranger 200 2019 Red,Qlink ranger parked for long,"Lagos, Yaba","₦ 750,000",Red
879,TVS HLX 125 2022 Yellow,Very good condition. just changed the engineto new one few days ago,"Kwara, Ilorin South","₦ 1,700,000",Foreign Used
880,New Motorcycle 2023,A new MaxS is a good product very strong and balance fan coolant is very strong tricycle the...,"Lagos, Agege","₦ 2,300,000",White
881,Bajaj Boxer 100 2021 Black,It works perfectly fine just buy.and.ride i.need.money.that.why.am.selling it.only.for the.serious...,"Lagos, Ojodu","₦ 350,000",Brand New
882,Qlink XP 200 2022 Black,Fairly used qlink champion in a very good condition,"Lagos, Yaba","₦ 530,000",Other
883,SYM Symnh 2015 Red,"Clean Japanese tokunbo sym fighter, a perfect bike for long and short trip on a low fuel consumption...","Lagos, Ogba","₦ 450,000",Nigerian Used
