,Title,Description,Location,Price,Condition
82,Daelim CiTi Ace 110 2012 Red,"Daelim Citi 110 Korea/Japan foreign used Tokumbo motorcycle, very strong and durable bike with high...","Lagos, Amuwo-Odofin","₦ 495,000",Black
83,Kymco 2021 Black,"Kymco bike This bike is foreign used and it is working perfectly, if you are interested please call...","Oyo, Ido","₦ 500,000",Nigerian Used
84,Kawasaki 2004 Blue,Kawasaki ZR7 bike in good condition,"Kwara, Ilorin East","₦ 1,200,000",Red
85,Suzuki Bike 2007 Blue,An extremely clean 2007 foreign used suzuki with original duty,"Abuja, Katampe","₦ 2,200,000",Brand New
86,TVS Apache 180 RTR 2023 Yellow,2023 TVs King Tricycle Machine with clean body and sound engine. Its a buy and drive machine......,"Lagos, Shomolu","₦ 930,000",Black
87,Zongshen Zone-T 2019 Black,Nigeria used neat Ladies motor cycle for sale,"Oyo, Ibadan","₦ 400,000",Brand New
88,SYM Symphony 2016 Red,"Clean Japanese tokunbo sym fighter 150cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 450,000",Red
89,Suzuki GS 2008 Red,Suzuki Cafe Racer for quick sale. Bike is in good condition and would be sold on first come first...,"Lagos, Ajah","₦ 1,150,000",Nigerian Used
90,SYM Symphony 2018 White,"SYM Bike This bike is in an excellent condition, a bike with full speed, if you are interested call...","Oyo, Ibadan","₦ 650,000",Yellow
91,New Tricycle 2023,New rongxing cargo tricycle is a new product that has a 250engine capacity. What was bulit at his...,"Lagos, Agege","₦ 5,300,000",Nigerian Used
92,TVS Apache 180 RTR 2022 Yellow,"This 2022,TVS king keke napep with clean body and sound engine is available for inspection... its...","Lagos, Shomolu","₦ 660,000",Red
93,SYM Symnh 2016 Black,"Clean Japanese tokunbo sym fighter 150cc , a perfect bike for long and short trip on a low fuel...","Lagos, Ifako-Ijaiye","₦ 430,000",Brand New
94,Yamaha Majesty 2016 Black,Buy and drive working fine,"Lagos, Ikeja","₦ 700,000",Blue
95,Senke SK110T 2013 Silver,A foreign used rubber rubber bike tested ok absolutely nothing to fix or change,"Lagos, Ikeja","₦ 500,000",Nigerian Used
96,Suzuki Bandit 2013 White,The beik is very ok buy and drev you can carry sombody in bak,"Nasarawa, Karu-Nasarawa","₦ 260,000",Red
97,Jincheng 2017 Black,A well used jincheng Focus motorcycle,"Kwara, Ilorin South","₦ 350,000",Brand New
98,New Motorcycle 2023,Mato b motorcycle is bike is very okay strong easy to maintain perfect movement is not concerned...,"Lagos, Agege","₦ 840,000",Black
99,Suzuki 2015 White,Suzuki mollect for sale Accident free Sound engine Clean interior Buy and drive,"Lagos, Mushin","₦ 250,000",Brand New
100,New Motorcycle 2020 Black,ATV is a very good machine that can help you move around in all terain ranging from 150CC to 350CC...,"Lagos, Ajah","₦ 4,000,000",Beige
101,KTM 2017,Sweet mint KTM Duke Bike,"Osun, Ede","₦ 2,600,000",Foreign Used
102,New Qlink XP 200 2019 Red,Engine capacity 200cc. fuel capacity 15liters. total weight: 175kg.,"Lagos, Yaba","₦ 930,000",White
103,Daylong DL150-KT 2021 Black,"The bike is in good condition, the owner is Selling it cos of some challenges. So only interested...","Abia, Isiala Ngwa","₦ 380,000",Foreign Used
104,Jincheng Bike 2017 Black,It is very clean and all in good condition ...,"Oyo, Ido","₦ 300,000",Blue
105,SYM Fnx 125 2017 White,"Clean Japanese tokunbo sym rx110, a perfect bike for long and short trip on a low fuel consumption...","Lagos, Ogba","₦ 430,000",Brand New
106,Lifan 2022 Red,Neatly used lifan dragon motorcycle in perfect condition with untempered engine and first body (not...,"Abuja, Gwarinpa","₦ 600,000",Black
107,TVS Neo NX 2023 Black,"Very clean, untouched engine!","Benue, Makurdi","₦ 800,000",Brand New
108,Haojue HJ110-2C 2022 Silver,This HAOJUE LUCKY is extremely clean and fuel economical. BUY it and just travel round the world.,"Ondo, Akure","₦ 580,000",Blue
109,Bimota 2023 Red,"This is Baotian motorcycle, is very good for logistics and is durable, fuel economical and rugged....","Abuja, Gudu","₦ 540,000",Nigerian Used
110,SYM Joyride 2016 Black,"Clean sym fighter 150cc, a perfect bike for long and short trip on a low fuel consumption with all...","Lagos, Ogba","₦ 450,000",Black
111,Kymco Agility 2021 Gray,Fuel economical bike,"Ondo, Akure","₦ 380,000",Foreign Used
112,Suzuki Bandit 2005 Black,The Bike is Buy and Ride nothing to fix... Makesure you bring your Mechanic while come... You wil...,"Oyo, Iseyin","₦ 1,700,000",Other
113,TVS King Deluxe Plus iTouch Start 2021 Yellow,"Engine: sound and good. Brake: working perfectly, reverse working. Lights working. New...","Abuja, Kubwa","₦ 700,000",Brand New
114,Yamaha 2005 Silver,"Foreign used bike and comes with - Tracker installed already, Tool kit, Dispatch box and helmet...","Lagos, Ikorodu","₦ 850,000",Blue
115,TVS 2019 Yellow,Super Clean and neatly used TVS keke 2019 model. Nothing to fix.,"Abuja, Kubwa","₦ 550,000",Nigerian Used
116,Yamaha NMAX 155 2017 White,"Clean Japanese tokunbo yamaha majesty 155cc 2017model, a perfect bike for long and short trip on a...","Lagos, Ogba","₦ 1,200,000",Red
117,Motorcycle 2018 White,Powerful Tokunbo Electric bike 36v available for sales with good battery it can cover 20km-25km a...,"Lagos, Alimosho","₦ 250,000",Foreign Used
118,Yamaha 2020 Green,Clean yamaha grand Axis 100 with sound engine,"Akwa Ibom, Ikot Ekpene","₦ 600,000",Black
119,TVS Apache 180 RTR 2021 Yellow,A fairly used TVS tricycle in good condition,"Lagos, Ipaja","₦ 500,000",Foreign Used
120,Motorcycle 2022 Black,Ninebot KickScooter E22 hardly ridden and Great shape. Good battery life can get you up 20km on a...,"Lagos, Ogudu","₦ 300,000",Black
121,Bajaj Boxer 2020 Red,Bajaj in good condition call,"Osun, Ilesa","₦ 250,000",Brand New
122,Kawasaki EX250 2019 Black,This power bike designed by Kawasaki has the capacity of a sport car... this car puts you on the...,"Lagos, Ojo","₦ 5,100,000",Blue
123,SYM Symphony 2017 Black,"Clean Japanese tokunbo sym fighter 150cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 450,000",Foreign Used
124,Hyosung 2015 Black,Just arrived In a very perfect condition,"Lagos, Ikeja","₦ 2,500,000",White
125,New Motorcycle 2022 Black,"Brand new auto unity motorcycle,available in different colours And we also sell Nigeria used...","Lagos, Yaba","₦ 750,000",Brand New
126,Jincheng Bike 2017 White,"Automatic Nigeria used bike , it saves fuel and very clean and working perfectly ...","Oyo, Ibadan","₦ 300,000",Green
127,New Motorcycle 2022 Red,Brand new Zenith ZA200 ktl... will serve you in any weather condition... realible and easy to...,"Lagos, Ojo","₦ 2,200,000",Brand New
128,TVS 2017 Yellow,Yellow tricycle for sale,"Lagos, Alimosho","₦ 950,000",Red
129,Yamaha Majesty 2015 Black,"Clean Japanese tokunbo yamaha majesty 250cc 2017model, a standard bike for long and short trip on a...","Lagos, Ogba","₦ 980,000",Brand New
130,New Tricycle 2021 Red,We are dealers of all bazuki cargo tricycle. brand new 200cc bikes contact within:,"Lagos, Ikeja","₦ 2,700,000",Black
131,Honda 2022 Red,Boxer motobi red color buy and used,"Osun, Ede","₦ 410,000",Brand New
132,Yamaha 2015,2015 new model yamaha jog available in all colors for wholesale n retail purchase... whatsapp me for...,"Lagos, Yaba","₦ 300,000",Other
133,TVS Neo NX 2023 Blue,Very neat tvs Neo nx used like new no condition only serious buy dm081*********,"Kwara, Ilorin West","₦ 890,000",Nigerian Used
134,Motorcycle 2020 Black,Powerful Tokunbo Electric scooter 48v battery available for sales with good battery it can cover...,"Lagos, Alimosho","₦ 300,000",Green
135,Yamaha 2020 Red,"Specs Engine size 847cc Engine type Liquid-cooled, 12v, inline triple Frame type Diamond Fuel...","Lagos, Ojodu","₦ 6,800,000",Nigerian Used
136,Kawasaki Concours 14 2016 Black,Neatly used Kawasaki concours 1400. Nothing to fix just buy n ride condition,"Lagos, Surulere","₦ 4,500,000",Black
137,Muoner MN-C 200 2018 Black,A used bike still working good.good engine. Judt change few body part,"Lagos, Agege","₦ 200,000",Nigerian Used
138,TVS Apache 180 RTR 2011 Yellow,"Fair used Tvs machine everything working perfectly fine. Serious buyer only , slightly negotiable","Ogun, Sagamu","₦ 1,000,000",Yellow
139,Jincheng JC 110-9 2013 Black,A rubber rubber maching with good engine and in a verry good condition... all the rubbers are intact,"Plateau, Jos","₦ 340,000",Nigerian Used
140,New Qlink Rave 150 2022 White,Qlink Target is still the no.1 for scooter,"Lagos, Yaba","₦ 1,150,000",Black
141,Honda Gold Wing 1984 Gold,Superclean with everything working perfectly buy and ride at a giveaway price,"Abuja, Lokogoma","₦ 1,400,000",Brand New
142,BMW 2005 Black,Sweet Bike looking for new Home,"Ogun, Ijebu Ode","₦ 1,500,000",Other
143,Jincheng JC 110-9 2021 White,Sound and neatly used,"Kaduna, Kaduna / Kaduna State","₦ 450,000",Brand New
144,Kary-Go Cargo 2021 Black,Neatly used perfect condition,"Oyo, Ibadan","₦ 400,000",Black
145,New Honda CB 2020 Black,Too neat bike .cool engin an wel sound.no single fault.wit one touch hand start,"Ogun, Ifo","₦ 550,000",Nigerian Used
146,Kymco Agility 2022 Black,The machine is my own with complete document,"Anambra, Anambra East","₦ 360,000",Blue
147,BMW S 1000 RR 2019 Blue,Well maintained and without issues!,"Lagos, Ifako-Ijaiye","₦ 14,000,000",Foreign Used
148,Suzuki Burgman 2019,"We sale Clean and Accident free Foreign Used Suzuki, Yamaha Scooters, Power bikes, sport bikes and...","Lagos, Ojo","₦ 950,000",Black
149,Motorcycle 2021 Yellow,Powerful Tokunbo Electric tricycle scooter 48v available for sales with good battery it can cover...,"Lagos, Ikeja","₦ 450,000",Foreign Used
150,Suzuki Bike 2019 White,Direct Imported Scooter bikes of all types are available,"Lagos, Yaba","₦ 230,000",Yellow
151,BMW 1150R 2007 Red,In perfect condition,"Lagos, Isolo","₦ 3,000,000",Nigerian Used
152,TVS Apache 180 RTR 2020 Yellow,"Manual start, working perfect in good conditon","Lagos, Orile","₦ 550,000",Blue
153,New Apsonic AP200-A 2022 Black,This is called mourner this motorbike is very durable and can withstand a rugged road. the back tyre...,"Abuja, Gudu","₦ 950,000",Brand New
154,Kymco 2016 Black,Displacement 149 cc maximum power 13.8 hp bore x stroke 59 mm x 54.5 mm maximum torque 11.7 nm valve...,"Lagos, Ojodu","₦ 800,000",Other
155,New Super Gallant Buffalo 2020 Black,"Super gallant buffalo with engine capacity of 200cc ,tyr size 12.5/17. fuel tank capacity 15litres,...","Lagos, Yaba","₦ 950,000",Brand New
156,New Qlink X-ranger 200 2019 Black,"Qlink champion motocyle , Engine capacity is 200. tire size is 16. it comes with alloys ream. it has...","Lagos, Lagos Island (Eko)","₦ 1,100,000",Black
157,Zongshen Infinity 2019 Black,"Bikes are 80% clean as new and working perfectly. Location: Ibadan, Oyo State Interested buyers can...","Oyo, Ibadan","₦ 400,000",Foreign Used
158,New Lifan 2022 Red,2020 lifan 200cc & Sonik 200cc power bike brand new hurry up nationwide delivery is also available...,"Oyo, Ibadan","₦ 1,300,000",White
